link,organism_biosamp,Generational_Structure,Generational_Structure_citation,Generational_Structure_citationOG,ReturnToSpawningGround,ReturnToSpawningGround_citation,ReturnToSpawningGround_citationOG,Spawning_mode,Spawning_mode_citation,Spawning_mode_citationOG,Larval_feeding,Larval_feeding_citation,Larval_feeding_citationOG,isPlanktonic_atanypoint,isPlanktonic_atanypoint_citation,isPlanktonic_atanypoint_citationOG,isBenthic,PLD_point2,PLD_point_citation,PLD_point_citationOG,Body_Size,Body_Size_citation,Body_Size_citationOG,Fecundity_EggSize,Fecundity_EggSize_citation,Fecundity_EggSize_citationOG
PRJNA542967_Bartholomea-annulata,Bartholomea annulata,S,7,10.1016/j.jembe.2018.08.013,FALSE,NA,,F,7,10.1016/j.jembe.2018.08.013,L,115,,TRUE,7,https://doi.org/10.1016/j.jembe.2018.08.013,S,NA,VmEt6GlW?,"http://rave.ohiolink.edu/etdc/view?acc_num=osu1511308921778638 | Jennison,B.L. 1981 Reproduction in three species of sea anemones from Key West, Florida. Can J Zool 59:1708-1719",30,30,wikipedia,0.2,257,10.1139/z81-235
PRJNA595396_Bathygobius-cocosensis,Bathygobius cocosensis,I,NA,,FALSE,NA,,N,64, Relationships between early life history traits and recruitment among coral reef ﬁshes,P,116,,TRUE,147, Relationships between early life history traits and recruitment among coral reef ﬁshes,S,22.5,NA,,4,4,10.1111/mec.15829,0.34,258,https://www.airitilibrary.com/Article/Detail/10232796-201312-201403170032-201403170032-213-215
PRJNA646172_Bathyraja-aleutica,Bathyraja aleutica,I,8,10.1111/j.0022-1112.2005.00628.x?saml_referrer,TRUE,44,0.1111/jfb.12939,N,65,"Evolutionary transitions among egg-laying, live-bearing and maternal inputs in sharks and rays",N,117,,FALSE,148,"Evolutionary transitions among egg-laying, live-bearing and maternal inputs in sharks and rays.",A,0,NA,,161,161,10.1594/PANGAEA.900866,128,218,10.1594/PANGAEA.900866
PRJNA646172_Bathyraja-panthera,Bathyraja panthera,I,NA,,NA,NA,,N,65,"Evolutionary transitions among egg-laying, live-bearing and maternal inputs in sharks and rays",N,118,,FALSE,148,"Evolutionary transitions among egg-laying, live-bearing and maternal inputs in sharks and rays.",A,0,NA,,111,111,10.1594/PANGAEA.900866,98,218,10.1594/PANGAEA.900866
PRJNA340157_Callinectes-sapidus,Callinectes sapidus,I,NA,,FALSE,NA,,I,66,"Jivoff, P, A. H. Hines, and L. S. Quackenbush. 2007. Chapter 7: Reproduction biology and embryonic development. Pages 255-298. In .V S. Kennedy and L. E. Cronin, eds. The Blue Crab: Callinectes sapidus. University of Maryland. ",P,119,,TRUE,NA,,S,50,NA,,20,20,https://www.nwf.org/Educational-Resources/Wildlife-Guide/Invertebrates/Blue-Crab,0.26,259,10.1163/193724011X615325
PRJNA286949_Chlorostoma-funebralis,Chlorostoma funebralis,I,NA,,FALSE,NA,,F,67,10.1007/s002270050074,P,67,,TRUE,67,DOI: 10.1007/s002270050074,S,6,67,DOI: 10.1007/s002270050074,5,5,wikipedia,0.16,67,10.1007/s002270050074
PRJNA430030_Coryphaenoides-rupestris,Coryphaenoides rupestris,I,9,10.1038/s41559-018-0482-x,FALSE,NA,,F,68,"Nelson, J.S., Grande, T.C. and Wilson, M.V., 2016. Fishes of the World. John Wiley & Sons.",P,120,,TRUE,149,"COSEWIC. 2008. COSEWIC assessment and status report on the Roundnose Grenadier
Coryphaenoides rupestris in Canada. Committee on the Status of Endangered Wildlife in Canada.
Ottawa. vii + 42 pp. ",S,195,NA,,110,110,COSEWIC. 2008. COSEWIC assessment and status report on the Roundnose Grenadier Coryphaenoides rupestris in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. vii + 42 pp. ,2.4,260,"COSEWIC. 2008. COSEWIC assessment and status report on the Roundnose Grenadier
Coryphaenoides rupestris in Canada. Committee on the Status of Endangered Wildlife in Canada.
Ottawa. vii + 42 pp. "
PRJNA573759_Cranchia-scabra,Cranchia scabra,S,10,10.1016/j.cub.2015.02.018,NA,NA,,F,69,10.1093/plankt/18.9.1675,P,69,,TRUE,69,DOI:10.1093/plankt/18.9.1675,N,119,69,DOI:10.1093/plankt/18.9.1675,15,15,wikipedia,NA,256,NA
PRJNA508986_Ctenolabrus-rupestris,Ctenolabrus rupestris,I,NA,,FALSE,NA,,F,70, Relationships between early life history traits and recruitment among coral reef ﬁshes,P,116,,TRUE,150, Relationships between early life history traits and recruitment among coral reef ﬁshes,S,20.9,174,10.3354/meps327257,18,18,10.21203/rs.2.22229/v1,0.86,218,10.1594/PANGAEA.900866
PRJNA590458_Dascyllus-trimaculatus,Dascyllus trimaculatus,I,11,10.1098/rsos.172413,FALSE,NA,,N,64, Relationships between early life history traits and recruitment among coral reef ﬁshes,P,109,,TRUE,147, Relationships between early life history traits and recruitment among coral reef ﬁshes,S,24,175,https://doi.org/10.2307/1445439,14,14,Fishbase 2000,2.1,261,10.1134/S0032945209030059
PRJNA420851_Ectopleura-larynx,Ectopleura larynx,I,NA,,FALSE,NA,,I,71,10.1002/evl3.68,N,92,,FALSE,71,10.1002/evl3.68,A,0,71,https://doi.org/10.1002/evl3.68,6,6,wikipedia,NA,262,NA
PRJNA311981_Engraulis-encrasicolus,Engraulis encrasicolus,I,12,10.4194/1303-2712-v14_2_06,FALSE,NA,,F,70, Relationships between early life history traits and recruitment among coral reef ﬁshes,P,109,,TRUE,147, Relationships between early life history traits and recruitment among coral reef ﬁshes,N,100,176,"Larval growth of anchovy, Engraulis encrasicolus, in the Western Mediterranean Sea",21,21,10.1594/PANGAEA.900866,1.5,218,10.1594/PANGAEA.900866
PRJNA523574_Eudyptes-chrysolophus,Eudyptes chrysolophus,I,13,10.2305/IUCN.UK.2020-3.RLTS.T22697793A184720991.en,TRUE,13,10.2305/IUCN.UK.2020-3.RLTS.T22697793A184720991.en,N,63,NA,N,13,,FALSE,NA,,S,0,NA,,60,60,10.2305/IUCN.UK.2020-3.RLTS.T22697793A184720991.en,80,13,10.2305/IUCN.UK.2020-3.RLTS.T22697793A184720991.en
PRJNA576675_Eukrohnia-hamata,Eukrohnia hamata,I,NA,,FALSE,NA,,F,72,10.1093/plankt/fbx045,P,72,,TRUE,151,DOI:10.1134/S1063074017010072,N,0,177,https://www.sealifebase.ca/summary/Eukrohnia-hamata.html,3,3,https://inverts.wallawalla.edu/Chaetognatha/Eukrohnia_hamata.html,NA,263,NA
PRJNA394157_Exaiptasia-diaphana,Exaiptasia pallida,I,14,10.1038/srep15677,FALSE,NA,,F,73,10.1371/journal.pone.0011874,P,121,,TRUE,152,10.1038/srep19867,S,35,152,10.1038/srep19867,2.5,2.5,wikipedia,0.09,152,10.1038/srep19867
PRJDB7819_Fibramia-amboinensis,Fibramia amboinensis,I,NA,,FALSE,NA,,I,64, Relationships between early life history traits and recruitment among coral reef ﬁshes,N,116,,FALSE,150, Relationships between early life history traits and recruitment among coral reef ﬁshes,A,0,NA,,7,7,Fishbase 2000,NA,256,NA
PRJNA558810_Gadus-macrocephalus,Gadus macrocephalus,I,15,"FAO species catalogue. Vol.10. Gadiform Fishes of the world (Order Gadiformes). An Annotated and Illustrated Catalogue of Cods, Hakes, Grenadiers and other Gadiform Fishes Known to Date.Daniel M.Cohen Tadashi Inada Tomio Iwamoto Nadia Scialabba 1990. FAO Fisheries Synopsis. No. 125, Vol.10. Rome, FAO. 1990. 442p.",FALSE,45,0.1093/icesjms/fsw139,F,74,10.1093/icesjms/fsw139,P,74,,TRUE,74,https://doi.org/10.1093/icesjms/fsw139,N,52.5,NA,,122,122,10.1594/PANGAEA.900866,1.1,218,10.1594/PANGAEA.900866
PRJNA528403_Gadus-morhua,Gadus morhua,I,NA,,TRUE,46,10.1093/icesjms/fsv180,F,75,Ecosystem- and Taxon-specific Dynamic and Energetics Properties of Larval Fish Assemblages,P,122,,TRUE,153,Ecosystem- and Taxon-specific Dynamic and Energetics Properties of Larval Fish Assemblages,N,55,178,"Campana, S.E. 1996. Year-class strength and growth rate in young Atlantic cod Gadus morhua. Mar. Ecol. Prog. Ser. 135:321-26.",200,200,Fishbase 2000,1.52,264,Fishbase 2000
PRJNA576132_Galaxea-fascicularis,Galaxea fascicularis,I,2,10.1038/sdata.2016.17,FALSE,2,10.1038/sdata.2016.17,F,76,10.1002/ece3.1981,L,123,,TRUE,154,doi: 10.1007/bf00298178,S,3,179,Larval Development of Fertilized “Pseudo-Gynodioecious” Eggs Suggests a Sexual Pattern of Gynodioecy in Galaxea fascicularis (Scleractinia: Euphyllidae).,500,500,"Veron, J. E. N. (2000) Corals of the World. Australian Institute of Marine Science and CCR Qld Pty Ltd.",0.45,265,10.1371/journal.pone.0084115
PRJNA564121_Galaxias-maculatus,Galaxias maculatus,S,NA,,FALSE,NA,,N,77,https://fishesofaustralia.net.au/home/species/2129#moreinfo,P,Vx7xYNg3?,,TRUE,vvXwQuNL?,https://fishesofaustralia.net.au/home/species/2129#moreinfo,S,150,NA,,12,12,Fishbase 2000,1,263,NA
PRJNA450328_Halichoerus-grypus-atlantica,Halichoerus grypus atlantica,I,16,10.2305/IUCN.UK.2016-1.RLTS.T9660A45226042.en.,TRUE,16,10.2305/IUCN.UK.2016-1.RLTS.T9660A45226042.en.,I,63,NA,N,16,,FALSE,NA,,S,0,NA,,200,200,10.2305/IUCN.UK.2016-1.RLTS.T9660A45226042.en.,NA,16,10.2305/IUCN.UK.2016-1.RLTS.T9660A45226042.en.
PRJNA448438_Holacanthus-passer,Holacanthus passer,I,NA,,FALSE,NA,,F,70, Relationships between early life history traits and recruitment among coral reef ﬁshes,P,124,,TRUE,155, Relationships between early life history traits and recruitment among coral reef ﬁshes,S,25,180,"for Holocanthus venustus: DOI: 10.1111/j.1558-5646.1985.tb00429.x.
",36,36,Fishbase 2000,NA,263,NA
PRJNA281764_Homarus-americanus,Homarus americanus,I,NA,,FALSE,NA,,I,78,10.1007/s12237-020-00759-4,P,125,,TRUE,125,https://doi.org/10.1651/S-2758.1,S,12,125,https://doi.org/10.1651/S-2758.1,64,64,wikipedia,2,266,10.1651/C-2467
PRJNA553554_Istiblennius-lineatus,Istiblennius lineatus,I,NA,,FALSE,NA,,N,79, Relationships between early life history traits and recruitment among coral reef ﬁshes,P,124,,TRUE,150, Relationships between early life history traits and recruitment among coral reef ﬁshes,S,47,181,for Mediterranean blennies : DOI 10.1007/s002270000535,15,15,Fishbase 2000,NA,256,NA
PRJNA280898_Lagenorhynchus-acutus,Lagenorhynchus acutus,I,17,https://animaldiversity.org/accounts/Lagenorhynchus_acutus/#lifespan_longevity,FALSE,evV3NvMs?,https://animaldiversity.org/accounts/Lagenorhynchus_acutus/#lifespan_longevity,I,80,NA,N,hqM99qzH?,,FALSE,NA,,N,0,NA,,300,300,https://animaldiversity.org/accounts/Lagenorhynchus_acutus/#lifespan_longevity,NA,8mZCedlr?,https://animaldiversity.org/accounts/Lagenorhynchus_acutus/#lifespan_longevity
PRJNA480409_Laguncularia-racemosa,Laguncularia racemosa,I,18,10.1007/s00468-008-0224-9,FALSE,47,10.2305/IUCN.UK.2010-2.RLTS.T178798A7609219.en,F,81,10.1007/978-3-030-17854-3_71-1,N,47,,TRUE,47,https://dx.doi.org/10.2305/IUCN.UK.2010-2.RLTS.T178798A7609219.en,S,NA,NA,,93.1,93.1,10.1007/s00468-008-0224-9,NA,263,NA
PRJNA533707_Larimichthys-polyactis,Larimichthys polyactis,I,19,10.7717/peerj.7242,FALSE,NA,,F,82,10.5657/kfas.2004.37.6.478,P,82,,TRUE,82,10.5657/kfas.2004.37.6.478,S,66,82,10.5657/kfas.2004.37.6.478,26,26,10.1007/s12562-010-0288-5,1.1,82,10.5657/kfas.2004.37.6.478
PRJNA356786_Lateolabrax-maculatus,Lateolabrax maculatus,I,20,Fishbase 2000,FALSE,48,Fishbase 2000,F,83,Fishbase 2000,P,126,,TRUE,156,Fishbase 2000,S,59.5,182,reported for Lateolabrax japonicus : https://en.wikipedia.org/wiki/Japanese_sea_bass,102,102,Fishbase 2000,0.4,267,"Young-Gil, R.H.O., 2001. Studies on sexual maturation of spotted sea bass, Lateolabrax maculatus. Korean Journal of Fisheries and Aquatic Sciences, 34(5), pp.526-535."
PRJNA521302_Leptopsammia-pruvoti,Leptopsammia pruvoti,I,2,10.1038/sdata.2016.17,FALSE,2,10.1038/sdata.2016.17,I,84,10.1007/s00227-005-0137-8,L,127,,TRUE,84,https://doi.org/10.1007/s00227-005-0137-8,S,10,183,https://www.marlin.ac.uk/species/detail/1285,0.6,0.6,10.1007/s00227-005-1567-z | https://doi.org/10.1371/journal.pone.0037848,0.68,127,10.5479/si.00775630.459.1
PRJNA329407_Lutjanus-campechanus,Lutjanus campechanus,I,NA,,FALSE,NA,,F,79, Relationships between early life history traits and recruitment among coral reef ﬁshes,P,124,,TRUE,157, Relationships between early life history traits and recruitment among coral reef ﬁshes,S,34,184,https://doi.org/10.1038/srep36095,100,100,Fishbase 2000,0.258151933,268,10.1007/s00338-015-1380-1
PRJDB7819_Lutjanus-fulvus,Lutjanus fulvus,I,NA,,FALSE,NA,,F,79, Relationships between early life history traits and recruitment among coral reef ﬁshes,P,124,,TRUE,157, Relationships between early life history traits and recruitment among coral reef ﬁshes,S,34,184,from other Lutjanids: https://doi.org/10.1038/srep36095,40,40,Fishbase 2000,0.8,269,"Masood, Z. and Farooq, R.Y., 2011. Morphology and early life history pattern of some Lutjanus species: a review. International Journal of Biology and Biotechnology, 8, pp.455-461."
PRJNA544861_Montipora-capitata,Montipora capitata,I,2,10.1038/sdata.2016.17,FALSE,2,10.1038/sdata.2016.17,F,85,10.1007/s00338-012-0957-1,P,128,,TRUE,85,DOI: 10.1007/s00338-012-0957-1,S,7,185,doi.org/10.1007/s00338-022-02234-x,20,20,10.1017/S0025315408002865,0.39,270,10.3354/meps09530
PRJNA369717_Nautilus-pompilius,Nautilus pompilius,I,10,10.1016/j.cub.2015.02.018,NA,NA,,I,86,"Hanlon, R T. and J.B. Messenger. 1998. Cephalopod Behaviour. Cambridge University Press",N,129,,FALSE,129,doi: 10.1371/journal.pone.0165334,N,0,186,DOI:10.1111/mec.13255,25,25,wikipedia,26,271,10.5061/dryad.k84c3k8j
PRJNA508589_Orbicella-faveolata,Orbicella faveolata,I,21,10.1007/s00338-009-0548-y,FALSE,2,10.1038/sdata.2016.17,F,87,10.1007/s00338-017-1583-8,L,128,,TRUE,158,https://doi.org/10.3389/fmars.2020.00372,S,20,87,https://doi.org/10.1007/s00338-017-1583-8,83,83,"Bak, R. P. M., & Meesters, E. H. (1998). Coral population structure: the hidden information of colony size-frequency distributions. Marine Ecology Progress Series, 162, 301–306.",0.25,272,10.1038/srep12407
PRJNA511386_Ostrea-lurida,Ostrea lurida,I,22,10.2307/1932760,FALSE,49,10.1007/s12237-020-00771-8,I,88,10.2983/035.035.0209,P,130,,TRUE,159,https://doi.org/10.2983/035.039.0204,S,9.5,159,doi.org/10.2983/035.039.0204,3.5,3.5,10.1007/s10452-013-9431-6,0.1,273,COSEWIC. 2011. COSEWIC assessment and status report on the Olympia Oyster Ostrea lurida in Canada. Committee on the Status of Endangered Wildlife in Canada. Ottawa. xi + 56 pp. 
PRJNA373825_Paracentrotus-lividus,Paracentrotus lividus,I,23,10.3390/w11051029,FALSE,NA,,F,89,10.1111/ddi.13016,P,131,,TRUE,89,https://doi.org/10.1111/ddi.13016,S,30,187,"López, S., X. Turon, E. Montero, C. Palacín, C.M. Duarte, and I. Tarjuelo. 1998. Larval abundance, recruitment and early mortality in Paracentrotus lividus (Echinoidea). Interannual variability and plankton-benthos coupling. Mar. Ecol. Prog. Ser. 172: 239-251.",7.5,7.5,10.1016/B978-0-12-396491-5.00021-6,66,23,10.3390/w11051029
PRJNA640135_Paracirrhites-forsteri,Paracirrhites forsteri,I,20,Fishbase 2000,TRUE,48,Fishbase 2000,F,90, Relationships between early life history traits and recruitment among coral reef ﬁshes,P,132,,TRUE,157, Relationships between early life history traits and recruitment among coral reef ﬁshes,S,60.5,188,"from other Cirrhitidae: Brothers EB, Thresher RE 1985 Pelagic duration, dispersal, and the distribution of Indo-Pacific coral-reef fishes from  Reaka ML ed, ""The Ecology of Coral Reefs"", NOAA, pg. 53-69",22,22,Fishbase 2000,NA,274,NA
PRJNA477007_Paralichthys-dentatus,Paralichthys dentatus,I,24,Fishbase 2000,TRUE,48,Fishbase 2000,F,91,"Leis, J. M. 1991. The pelagic stage of reef ﬁshes: the larval biology of coral reef ﬁshes. Pages 183–230 in P. F. Sale, ed. The ecology of ﬁshes on coral reefs. Academic Press, San Diego, CA.",P,133,,TRUE,160,"Leis, J. M. 1991. The pelagic stage of reef ﬁshes: the larval biology of coral reef ﬁshes. Pages 183–230 in P. F. Sale, ed. The ecology of ﬁshes on coral reefs. Academic Press, San Diego, CA.",S,24,189,"for a congener, Paralichthys olivaceus: https://doi.org/10.1016/j.seares.2009.12.002",94,94,10.1594/PANGAEA.900866,0.82,218,10.1594/PANGAEA.900866
PRJNA554161_Penaeus-duorarum,Penaeus duorarum,I,25,"https://www.irlspecies.org/taxa/index.php?taxon=9671#:~:text=Individuals%20reaching%20sexual%20maturity%20may,highly%20abundant%20throughout%20its%20range.",FALSE,50,10.3389/fevo.2021.659134,I,50,10.3389/fevo.2021.659134,P,50,,TRUE,50,10.3389/fevo.2021.659134,N,15,50,10.3389/fevo.2021.659134,28,28,"https://www.irlspecies.org/taxa/index.php?taxon=9671#:~:text=Age%2C%20Size%2C%20Lifespan%3A%20Penaeus,280%20mm%20(Williams%201984).",0.3,275,10.18785/gcr.1201.01
PRJNA343959_Phocoena-phocoena,Phocoena phocoena,I,26,10.2305/IUCN.UK.2020-2.RLTS.T17027A50369903.en.,FALSE,26,10.2305/IUCN.UK.2020-2.RLTS.T17027A50369903.en.,I,92,NA,N,26,,FALSE,NA,,N,0,NA,,190,190,10.2305/IUCN.UK.2020-2.RLTS.T17027A50369903.en.,NA,26,10.2305/IUCN.UK.2020-2.RLTS.T17027A50369903.en.
PRJNA659918_Phocoena-sinus,Phocoena sinus,I,27,https://www.iucnredlist.org/species/17028/50370296,FALSE,51,10.1111/j.1469-7998.1996.tb05450.x,I,80,NA,N,51,,FALSE,NA,,N,0,NA,,150,150,10.1111/j.1748-7692.1987.tb00149.x,NA,51,10.1111/j.1469-7998.1996.tb05450.x
PRJNA445895_Pisaster-ochraceus,Pisaster ochraceus,I,NA,,FALSE,NA,,F,93,"Strathmann, M.F., 2017. Reproduction and development of marine invertebrates of the northern Pacific coast: data and methods for the study of eggs, embryos, and larvae. University of Washington Press.",P,134,,TRUE,161,"Strathmann, M.F., 2017. Reproduction and development of marine invertebrates of the northern Pacific coast: data and methods for the study of eggs, embryos, and larvae. University of Washington Press.",S,151,NA,,25,25,wikipedia,0.15,276,"Strathmann, M.F., 2017. Reproduction and development of marine invertebrates of the northern Pacific coast: data and methods for the study of eggs, embryos, and larvae. University of Washington Press."
PRJNA471559_Planes-minutus,Planes minutus,I,NA,,FALSE,NA,,I,94,10.1651/C-2440,P,135,,TRUE,135,doi: 10.1002/ece3.4694,N,0,190,https://doi.org/10.1098/rsbl.2016.0607,1,1,wikipedia,NA,274,NA
PRJNA382467_Platichthys-flesus,Platichthys flesus,I,20,Fishbase 2000,TRUE,52,Fishbase 2000,F,95,"Leis, J. M. 1991. The pelagic stage of reef ﬁshes: the larval biology of coral reef ﬁshes. Pages 183–230 in P. F. Sale, ed. The ecology of ﬁshes on coral reefs. Academic Press, San Diego, CA.",P,133,,TRUE,162,"Leis, J. M. 1991. The pelagic stage of reef ﬁshes: the larval biology of coral reef ﬁshes. Pages 183–230 in P. F. Sale, ed. The ecology of ﬁshes on coral reefs. Academic Press, San Diego, CA.",S,29,191,https://doi.org/10.1016/j.ecss.2021.107314,60,60,10.1594/PANGAEA.900866,0.95,218,10.1594/PANGAEA.900866
PRJNA450871_Pocillopora-damicornis,Pocillopora damicornis,I,28,10.1371/journal.pone.0169692,FALSE,2,10.1038/sdata.2016.17,F,28,"10.1371/journal.pone.0169692; note this species also broods, but brooded larvae are asexually produced",P,128,,TRUE,163,https://doi.org/10.1007/BF00390649,S,6,192,https://doi.org/10.1016/j.jembe.2012.10.019,10,10,"Richmond, R.H., 1987. Energetic relationships and biogeographical differences among fecundity, growth and reproduction in the reef coral Pocillopora damicornis. Bulletin of Marine Science, 41(2), pp.594-604.",0.11,277,"Stoddart, J.A. and Black, R., 1985. Cycles of gametogenesis and planulation in the coral Pocillopora damicornis. Marine ecology progress series. Oldendorf, 23(2), pp.153-164."
PRJNA559876_Pomacanthus-maculosus,Pomacanthus maculosus,I,NA,,FALSE,NA,,F,90, Relationships between early life history traits and recruitment among coral reef ﬁshes,P,132,,TRUE,155, Relationships between early life history traits and recruitment among coral reef ﬁshes,S,22,188,"from other Pomacanthus: Brothers EB, Thresher RE 1985 Pelagic duration, dispersal, and the distribution of Indo-Pacific coral-reef fishes from  Reaka ML ed, ""The Ecology of Coral Reefs"", NOAA, pg. 53-69",50,50,Fishbase 2000,0.61,278,10.1111/j.1365-2109.2009.02192.x
PRJNA379028_Porites-astreoides,Porites astreoides,I,29,"Soong, K., 1991. Sexual reproductive patterns of shallow-water reef corals in Panama. Bulletin of marine science, 49(3), pp.832-846.",FALSE,2,10.1038/sdata.2016.17,I,96,Sexual Reproductive Patterns of Shallow-water Reef Corals in Panama,P,128,,TRUE,164,Sexual Reproductive Patterns of Shallow-water Reef Corals in Panama,S,10,193,doi: 10.1007/s002270100634,55,55,10.1007/s00338-009-0548-y,0.2,279,"Soong, K., 1991. Sexual reproductive patterns of shallow-water reef corals in Panama. Bulletin of marine science, 49(3), pp.832-846."
