link,project_acc_bioprj,project_title_bioprj,project_description_bioprj,common_name,organism_biosamp,clade,n_biosample_accs,date_dataset_first_added_to_this_list,has_latlong_in_NCBI,is_salmonoid,commenter,comments,commenter_spatialdata,comments_about_spatial_data_location,keepinrunning_YN,link_to_published_paper,datathon_project_index,scientificname_worms,rad_method,Category,isMarine_worms,isBrackish_worms,isFreshwater_worms,isTerrestrial_worms,isCoral,kingdom_worms,phylum_worms,class_worms,order_worms,family_worms,genus_worms,somePopsFWorBrackish,isInvasiveRange,isMaybeHybrid,DiffbyDepthSuspected,isAdultBenthicMarine,isNektonSometimes,isInvert,isFish,isAmniote,isPlant,PLD_point,PLD_point_citation,PLD_minmax,PLD_Min,PLD_Max,PLD_point2,PLD_minmax_citation,PLD_Method,Brooding,Planktonic_Mode,PLD_method_citation,isPlanktonic_atanypoint,isPlanktonic_atanypoint_citation,Spawning_mode,Spawning_mode_citation,Larval_feeding,Adult_Motility,Larval_feeding_citation,Large_Adult_Range,Large_Adult_Range_citation,ReturnToSpawningGround,ReturnToSpawningGround_citation,Spawnlocation,Spawnlocation_citation,Fecundity_EggsFemaleSpawn,Fecundity_EggsFemaleSpawn_citation,Fecundity_SpawnFrequency,Fecundity_SpawnFrequency_citation,Fecundity_EggSize,LogEgg,Fecundity_EggSize_citation,Body_Size,Body_Size_citation,Reproductive_Age,Reproductive_Age_citation,Longevity,Coded_longevity,Longevity_citation,Generational_Structure,Generational_Structure_citation,Asexual_Stage,Asexual_Stage_citation,Human_Interactions_economic,Human_Interactions_economic_citation,Census_Size,Census_Size_citation,Range_Size,Genome_Size_MB,Genome_Size_MB_citation,Genome_Size_picoGrams,Genome_Size_picoGrams_citation,senior check-off,Time Spent (minutes),Citations,Comments_traits,Image_Citation,final_keepers
PRJNA564823_Delphinapterus-leucas,PRJNA564823,"Delphinapterus leucas low-coverage genome sequencing and assembly from Bristol Bay and Cook Inlet, Alaska, USA.","In support of NOAA's mission to develop bioanalytical tools to study the Cook Inlet (Alaska, USA) beluga whale population, low-coverage genomes were constructed from individuals from the Cook Inlet and from Bristol Bay.",Beluga whale,Delphinapterus leucas,NA,14,43790,n,n,Sofia Beskid via DIPnet datathon,NA,NA,got metadata from author via email,yes,NA,M0071,Delphinapterus leucas,?,Adult Movement,1,1,1,0,0,Animalia,Chordata,Mammalia,Cetartiodactyla,Monodontidae,Delphinapterus,F,F,F,F,F,T,F,F,T,F,0,NA,0,0,0,0,NA,NA,T,D,NA,F,F,I,NA,N,T,NA,F,doi: 10.2305/IUCN.UK.2017-3.RLTS.T6335A50352346.en.,T,doi: 10.2305/IUCN.UK.2017-3.RLTS.T6335A50352346.en.,Arctic,doi: 10.2305/IUCN.UK.2017-3.RLTS.T6335A50352346.en.,1,doi: 10.2305/IUCN.UK.2017-3.RLTS.T6335A50352346.en.,0.33,doi: 10.2305/IUCN.UK.2017-3.RLTS.T6335A50352346.en.,0,0,NA,550,doi: 10.2305/IUCN.UK.2017-3.RLTS.T6335A50352346.en.,8.5,doi:10.1038/s41598-018-31047-,70,70,doi:10.1038/s41598-018-31047-,I,doi: 10.2305/IUCN.UK.2017-3.RLTS.T6335A50352346.en.,F,NA,T,https://en.wikipedia.org/wiki/Beluga_whale#Relationship_with_humans,130000,doi: 10.2305/IUCN.UK.2017-3.RLTS.T6335A50352346.en.,NA,NA,NA,3.29,doi: 10.2108/zsj.23.1017,EC,NA,NA,NA,NA,TRUE
PRJNA407892_Dicentrarchus-labrax,PRJNA407892,Resistance of European sea bass to Viral Nervous Necrosis (VNN),Investigating the potential of breeding European sea bass resistant to VNN,European seabass,Dicentrarchus labrax,NA,1603,43790,n,n,CR,quant gen study,NA,NA,no,NA,NA,Dicentrarchus labrax,NA,NA,1,1,1,0,NA,Animalia,Chordata,Actinopterygii,Perciformes,Moronidae,Dicentrarchus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PRJNA472842_Dicentrarchus-labrax,PRJNA472842,Dicentrarchus labrax raw whole-genome sequence reads,Genome wide survey of genetic diversity within and among European sea bass lineages. Wild individuals from Atlantic and Mediterranean lineages were crossed to generate trio samples for genome-wide haplotyping.,European seabass,Dicentrarchus labrax,NA,24,43790,n,n,JW,crossing data,NA,NA,no,NA,NA,Dicentrarchus labrax,NA,NA,1,1,1,0,NA,Animalia,Chordata,Actinopterygii,Perciformes,Moronidae,Dicentrarchus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PRJNA628166_Dicentrarchus-labrax,PRJNA628166,Dicentrarchus labrax raw whole-genome sequence reads (Duranton et al. 2020 Evolution Letters),Genome wide survey of genetic diversity within and among European sea bass lineages. Wild individuals from Atlantic and Mediterranean lineages were crossed to generate trio samples for genome-wide haplotyping. One Dicentrarchus punctatus individual was used as an outgroup.,European seabass,Dicentrarchus labrax,NA,59,44169,n,NA,EDC,NA,NA,NA,maybe,NA,NA,Dicentrarchus labrax,NA,NA,1,1,1,0,NA,Animalia,Chordata,Actinopterygii,Perciformes,Moronidae,Dicentrarchus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PRJNA555829_Didemnum-vexillum,PRJNA555829,Genotyping-by-sequencing study on world-wide Didemnum vexillum populations,Genotyping-by-sequencing study on world-wide populations of the invasive ascidian Didemnum vexillum,NA,Didemnum vexillum,NA,291,44169,n,NA,EDC,NA,NA,NA,maybe,NA,NA,Didemnum vexillum,NA,NA,1,0,0,0,NA,Animalia,Chordata,Ascidiacea,Aplousobranchia,Didemnidae,Didemnum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PRJNA412568_Durvillaea-antarctica,PRJNA412568,Durvillaea antarctica (southern bull-kelp) GBS data,Raw reads generated by Genotyping by Sequencing,NA,Durvillaea antarctica,NA,167,43790,n,n,CR,phylogenetic study,NA,NA,no,https://onlinelibrary.wiley.com/doi/abs/10.1111/jpy.12939?casa_token=fEegmC4PcGgAAAAA:0XFGJM6ZcHDxEBK1GxtHAwk2DBIkWXw52Lc881MX4AFH2QWpDsdgQONz_iIvnN1b2jUICjdsVFSSpmyN,NA,Durvillaea antarctica,NA,NA,1,NA,NA,NA,NA,Chromista,Ochrophyta,Phaeophyceae,Fucales,Durvillaeaceae,Durvillaea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PRJNA635712_Durvillaea-antarctica,PRJNA635712,The genomic footprint of coastal uplift on Durvillaea kelps,"GBS libraries for three species of Durvillaea were prepared using PstI. SNP data were analyzed to understand the effect of an ancient coastal earthquake uplift on population structure and demography of D. antarctica, D. poha, and D. willana in southern New Zealand.",NA,Durvillaea antarctica,NA,133,44169,n,NA,EDC,NA,NA,NA,maybe,NA,NA,Durvillaea antarctica,NA,NA,1,NA,NA,NA,NA,Chromista,Ochrophyta,Phaeophyceae,Fucales,Durvillaeaceae,Durvillaea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PRJNA635712_Durvillaea-poha,PRJNA635712,The genomic footprint of coastal uplift on Durvillaea kelps,"GBS libraries for three species of Durvillaea were prepared using PstI. SNP data were analyzed to understand the effect of an ancient coastal earthquake uplift on population structure and demography of D. antarctica, D. poha, and D. willana in southern New Zealand.",NA,Durvillaea poha,NA,113,44169,n,NA,EDC,NA,NA,NA,maybe,NA,NA,Durvillaea poha,NA,NA,1,NA,NA,NA,NA,Chromista,Ochrophyta,Phaeophyceae,Fucales,Durvillaeaceae,Durvillaea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PRJNA635712_Durvillaea-willana,PRJNA635712,The genomic footprint of coastal uplift on Durvillaea kelps,"GBS libraries for three species of Durvillaea were prepared using PstI. SNP data were analyzed to understand the effect of an ancient coastal earthquake uplift on population structure and demography of D. antarctica, D. poha, and D. willana in southern New Zealand.",NA,Durvillaea willana,NA,73,44169,n,NA,EDC,NA,NA,NA,maybe,NA,NA,Durvillaea willana,NA,NA,1,NA,NA,NA,NA,Chromista,Ochrophyta,Phaeophyceae,Fucales,Durvillaeaceae,Durvillaea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PRJNA371840_Ectocarpus-siliculosus,PRJNA371840,Ectocarpus siliculosus Raw sequence reads from ddRADseq,Mapping F2 family sequenced by ddRADseq and used to build a genetic map and detect QTLs for high temperature and low salinity stresses.,NA,Ectocarpus siliculosus,NA,91,43790,n,n,CR,quant gen study,NA,NA,no,NA,NA,Ectocarpus siliculosus virus a,NA,NA,1,0,0,0,NA,Viruses,NA,NA,NA,Phycodnaviridae,Phaeovirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PRJNA473288_Ectocarpus-siliculosus,PRJNA473288,Ectocarpus siliculosus populations ddRAD-seq data,This data was used to study neutral diversity in the UV sex chromosomes of the brown alga Ectocarpus siliculosus.,NA,Ectocarpus siliculosus,NA,49,43790,n,n,"JW, Sofia Beskid via DIPnet datathon","Have metadata via datathon but JW says - SEX CHROMOSOME STUDY, MIXED DIPLOID HAPLOID, RUN RUN AWAY",JW,See Supplementary Information File 1,no,https://doi.org/10.3390/genes9060286,M0039,Ectocarpus siliculosus virus a,NA,NA,1,0,0,0,NA,Viruses,NA,NA,NA,Phycodnaviridae,Phaeovirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PRJNA420851_Ectopleura-larynx,PRJNA420851,Population genomics of the hydrozoan Ectopleura larynx,"The goal of our study was to characterize genetic diversity within and between colonies of the hydrozoan Ectopleura larynx, and to understand biogeographical patterns of distribution using a RAD-seq approach.",Ringed tubularian hydroid,Ectopleura larynx,NA,122,43790,y,n,EC,"Put in short scale dispersal (no planula larvae), but unclear whether it rafts. paper didnt have any sequence ID info in it but everything matches this paper.",NA,"Put in short scale dispersal (no planula larvae), but unclear whether it rafts",yes,https://onlinelibrary.wiley.com/doi/epdf/10.1002/evl3.68,NA,Ectopleura larynx,MSG,Short-scale Dispersal,1,0,0,0,0,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Tubulariidae,Ectopleura,F,F,T,F,T,F,T,F,F,F,0,https://doi.org/10.1002/evl3.68,0,0,0,0,https://doi.org/10.1002/evl3.68,NA,T,D,NA,T,NA,F,NA,P,F,DOI: 10.1080/08927014.2013.763228,F,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,I,NA,T,DOI 10.1016/j.cub.2012.03.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,JW,NA,https://doi.org/10.1002/evl3.68,NA,NA,TRUE
PRJNA551399_Elacatinus-lori,PRJNA551399,Elacatinus lori Raw sequence reads,Amplicon and ddRAD sequence data from a population study of approximately 1100 samples of Elacatinus lori (neon goby) from Belize,Neon goby,Elacatinus lori,NA,96,44169,"n, but",NA,EDC,"Eric has the lat/longs and can easily fill out the GEOME form for this one, BUT, all ddRAD aka not amplicon samples appear to be multiplexed still and would need to be demultiplexed to use",NA,NA,maybe,NA,NA,Elacatinus lori,?,Passive Pelagic Dispersal,1,0,0,0,NA,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Elacatinus,F,F,F,F,T,F,F,T,F,F,20.9,https://pubmed.ncbi.nlm.nih.gov/25641120/,18.8–24.8,NA,NA,NA,https://pubmed.ncbi.nlm.nih.gov/25641120/,Pelagic larvae,F,B,https://pubmed.ncbi.nlm.nih.gov/25641120/,T,"Cowen, R. K., and S. Sponaugle. 1997. Relationships between early life history traits and recruitment among coral reef ﬁshes. Pages 421–449 in R. Chambers and E. A. Trippel, eds. Early life history and recruitment in ﬁsh populations. Chapman & Hall, London. | Leis, J. M. 1991. The pelagic stage of reef ﬁshes: the larval biology of coral reef ﬁshes. Pages 183–230 in P. F. Sale, ed. The ecology of ﬁshes on coral reefs. Academic Press, San Diego, CA.",N,"Cowen, R. K., and S. Sponaugle. 1997. Relationships between early life history traits and recruitment among coral reef ﬁshes. Pages 421–449 in R. Chambers and E. A. Trippel, eds. Early life history and recruitment in ﬁsh populations. Chapman & Hall, London. | Leis, J. M. 1991. The pelagic stage of reef ﬁshes: the larval biology of coral reef ﬁshes. Pages 183–230 in P. F. Sale, ed. The ecology of ﬁshes on coral reefs. Academic Press, San Diego, CA.",T,F,"Cowen, R. K., and S. Sponaugle. 1997. Relationships between early life history traits and recruitment among coral reef ﬁshes. Pages 421–449 in R. Chambers and E. A. Trippel, eds. Early life history and recruitment in ﬁsh populations. Chapman & Hall, London. | Leis, J. M. 1991. The pelagic stage of reef ﬁshes: the larval biology of coral reef ﬁshes. Pages 183–230 in P. F. Sale, ed. The ecology of ﬁshes on coral reefs. Academic Press, San Diego, CA.",F,NA,F,NA,Central America,https://pubmed.ncbi.nlm.nih.gov/25641120/,564–1763,https://doi.org/10.1016/j.aquaculture.2017.10.024,365,https://reader.elsevier.com/reader/sd/pii/S0044848617302491?token=B51CC442DD1C78D31C30C3A5E96D31D3041EE26A0561DC6AE4BE56DA8847BDDA1BE14BFDDF5EB7B61C9484A8C628CF08&originRegion=us-east-1&originCreation=20211103012352,2.54,0.5490032620257879,https://doi.org/10.1016/j.aquaculture.2017.10.024,4.75–5.85,https://pubmed.ncbi.nlm.nih.gov/25641120/,0.033–0.145,https://doi.org/10.1016/j.aquaculture.2017.10.024,?,NA,NA,I,https://doi.org/10.1016/j.aquaculture.2017.10.024,no,https://reader.elsevier.com/reader/sd/pii/S0044848617302491?token=B51CC442DD1C78D31C30C3A5E96D31D3041EE26A0561DC6AE4BE56DA8847BDDA1BE14BFDDF5EB7B61C9484A8C628CF08&originRegion=us-east-1&originCreation=20211103012352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PRJNA311981_Engraulis-encrasicolus,PRJNA311981,Engraulis encrasicolus Raw sequence reads,We applied restriction-site associated DNA sequencing (RAD-Seq) to describe the population genetic structure of European anchovy (Engraulis encrasicolus) in relation with geography and habitat type.,European anchovy,Engraulis encrasicolus,NA,128,43790,n,n,"JW, Eric Crandall via DIPnet datathon",sep SRA files; pelagic fish,CR,Used site names and figure 1,yes,https://doi.org/10.1111/mec.13627,M0014,Engraulis encrasicolus,SbfI; Baird,Adult Movement,1,1,0,0,0,Animalia,Chordata,Actinopterygii,Clupeiformes,Engraulidae,Engraulis,T,F,F,F,F,T,F,T,F,F,100,NA,NA,NA,NA,100,"100 day larvae are still observed .... no real ""settlement"" so not clear what PLD means..",otolith,F,P,https://link.springer.com/content/pdf/10.1007/BF00391991.pdf,T,"Cowen, R. K., and S. Sponaugle. 1997. Relationships between early life history traits and recruitment among coral reef ﬁshes. Pages 421–449 in R. Chambers and E. A. Trippel, eds. Early life history and recruitment in ﬁsh populations. Chapman & Hall, London. | Leis, J. M. 1991. The pelagic stage of reef ﬁshes: the larval biology of coral reef ﬁshes. Pages 183–230 in P. F. Sale, ed. The ecology of ﬁshes on coral reefs. Academic Press, San Diego, CA.",F,"Cowen, R. K., and S. Sponaugle. 1997. Relationships between early life history traits and recruitment among coral reef ﬁshes. Pages 421–449 in R. Chambers and E. A. Trippel, eds. Early life history and recruitment in ﬁsh populations. Chapman & Hall, London. | Leis, J. M. 1991. The pelagic stage of reef ﬁshes: the larval biology of coral reef ﬁshes. Pages 183–230 in P. F. Sale, ed. The ecology of ﬁshes on coral reefs. Academic Press, San Diego, CA.",P,F,"Cowen, R. K., and S. Sponaugle. 1997. Relationships between early life history traits and recruitment among coral reef ﬁshes. Pages 421–449 in R. Chambers and E. A. Trippel, eds. Early life history and recruitment in ﬁsh populations. Chapman & Hall, London. | Leis, J. M. 1991. The pelagic stage of reef ﬁshes: the larval biology of coral reef ﬁshes. Pages 183–230 in P. F. Sale, ed. The ecology of ﬁshes on coral reefs. Academic Press, San Diego, CA.",T,NA,F,NA,NA,NA,226500,https://doi.pangaea.de/10.1594/PANGAEA.900866,365,https://www.researchgate.net/publication/264750753_Modeling_the_Influence_of_Hydrodynamic_Processes_on_Anchovy_Distribution_and_Connectivity_in_the_Black_Sea,1.5,0.3979400086720376,https://doi.pangaea.de/10.1594/PANGAEA.900866,21,https://doi.pangaea.de/10.1594/PANGAEA.900866,1,https://doi.pangaea.de/10.1594/PANGAEA.900866,3–5,4,https://doi.pangaea.de/10.1594/PANGAEA.900866,I,https://www.researchgate.net/publication/264750753_Modeling_the_Influence_of_Hydrodynamic_Processes_on_Anchovy_Distribution_and_Connectivity_in_the_Black_Sea,F,https://www.researchgate.net/publication/264750753_Modeling_the_Influence_of_Hydrodynamic_Processes_on_Anchovy_Distribution_and_Connectivity_in_the_Black_Sea,NA,NA,NA,NA,NA,NA,NA,NA,NA,CR,NA,NA,NA,NA,TRUE
PRJNA487648_Eretmochelys-imbricata,PRJNA487648,A Versatile Rapture (RAD-Capture) Platform for Genotyping Marine Turtles,Illumina sequences for hardshell (Cheloniid spp.) turtles used in analyses,hawksbill sea turtle,Eretmochelys imbricata,NA,43,43790,n,n,JW,turtle,NA,NA,no,NA,NA,Eretmochelys imbricata,NA,NA,1,NA,NA,NA,NA,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PRJNA574782_Eriocheir,PRJNA574782,Eriocheir Raw sequence reads,Re-sequencing of the eriocheir samples,Chinese mitten crab,Eriocheir,NA,37,43790,n,n,Sofia Beskid via DIPnet datathon,"could not find a published paper and missing location info aka coordinates with small enough uncertainty, authors did not reply",NA,NA,no,NA,M0072,Eriocheir sinensis reovirus,NA,NA,1,0,0,0,NA,Viruses,NA,NA,NA,Reoviridae,Cardoreovirus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PRJNA586770_Esox-lucius,PRJNA586770,PRJNA579326,"We utilized Restriction site Associated DNA Sequencing (RADseq) technique to genotype individuals from three Esox lucius populations from Baltic Sea. The resulting single nucleotide polymorphism (SNP) data were utilized to uncover genetic structure of the populations. The study populations have been found to exhibit local adaptations that exhibit themselves as phenotypical variations. The SNP data were also utilized to search for genes under selection that are putatively responsible for adaptation to different environmental variables. Lastly, the data was used to assess relative performance of microsatellite and RADseq markers.",northern pike,Esox lucius,NA,64,44169,y,NA,EDC,NA,NA,NA,no,NA,NA,Esox lucius,NA,NA,0,1,1,0,NA,Animalia,Chordata,Actinopterygii,Esociformes,Esocidae,Esox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PRJNA512507_Esox-lucius,PRJNA512507,Whole Genome Resequencing in North American northern pike,"We performed whole genome resequencing on 45 additional northern pike individuals (Esox lucius) to complement the two individuals used in genome assembly. Samples were obtained from Chatanika River, Alaska; Yukon River, Yukon Territory; Palmer Lake, BC; Whiteshell Fish Hatchery in West Hawk lake, Manitoba; Thousand Islands region of St. Lawrence River, NY; and Charles O. Hayford State Fish Hatchery in Hackettstown, NJ. Sequencing was performed on Illumina HiSeqX instruments with PE150 by McGill University and Genome Quebec Innovation Centre. This data has been used for SNP, Indel and Structural Variant discovery to provide a database of variation across North America, to survey population genomics and relatedness amongst North American pike populations, and to survey regions of the genome that may be associated with sex determination in North American northern pike.",northern pike,Esox lucius,NA,45,44169,n,NA,EDC,NA,NA,NA,no,NA,NA,Esox lucius,NA,NA,0,1,1,0,NA,Animalia,Chordata,Actinopterygii,Esociformes,Esocidae,Esox,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PRJNA589336_Eudyptes-chrysocome,PRJNA589336,Receding ice drove parallel expansions in Southern Ocean penguin,This project investigate the population dynamics of several different penguin species following the last glacial maximum,Rockhopper penguin,Eudyptes chrysocome,NA,26,44169,n,NA,EDC,NA,NA,NA,maybe,NA,NA,Eudyptes chrysocome,NA,NA,1,NA,NA,NA,NA,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PRJNA523574_Eudyptes-chrysolophus,PRJNA523574,More than the eye can see: Genomic insights into the drivers of genetic differentiation in Royal/Macaroni penguins across the Southern Ocean,"The study of systematics in wide-ranging seabirds can be challenging due to the vast geographic scales involved, as well as the possible discordance between molecular, morphological and behavioral data. In the Southern Ocean, macaroni penguins (Eudyptes chrysolophus) are distributed over a circumpolar range including populations in Antarctic and sub-Antarctic areas. Macquarie Island, in its relative isolation, is home to a closely related endemic taxon — the royal penguin (Eudyptes schlegeli), which is distinguishable from E. chrysolophus mainly by facial coloration. Although these sister taxa are widely accepted as representing distinct species based on morphological grounds, the extent of their genome-wide differentiation remains uncertain. In this study, we use genome-wide Single Nucleotide Polymorphisms to test genetic differentiation between these geographically isolated taxa and evaluate the main drivers of population structure among breeding colonies of macaroni/royal penguins. Genetic similarity observed between macaroni and royal penguins suggests they constitute a single evolutionary unit. Nevertheless, royal penguins exhibited a tendency to cluster only with macaroni individuals from Kerguelen Island, suggesting that dispersal occurs mainly between these neighboring colonies. A stepping stone model of differ- entiation of macaroni/royal populations was further supported by a strong pattern of isolation by distance detected across its whole distribution range, possibly driven by large geographic distances between colonies as well as natal philopatry. However, we also detected intraspecific genomic differentiation between Antarctic and sub-Antarctic populations of macaroni penguins, highlighting the role of environmental factors together with geographic dis- tance in the processes of genetic differentiation between Antarctic and sub-Antarctic waters.",Macaroni penguin,Eudyptes chrysolophus,NA,67,43790,n,n,JW,penquin,NA,NA,yes,NA,NA,Eudyptes chrysolophus,NA,NA,1,0,0,0,0,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,F,F,F,F,F,T,F,F,T,F,0,NA,0,0,0,0,NA,NA,NA,NA,NA,F,F,N,NA,N,NA,NA,T,https://dx.doi.org/10.2305/IUCN.UK.2020-3.RLTS.T22697793A184720991.en,T,https://dx.doi.org/10.2305/IUCN.UK.2020-3.RLTS.T22697793A184720991.en,subantarctic islands 45-55°S,https://dx.doi.org/10.2305/IUCN.UK.2020-3.RLTS.T22697793A184720991.en,2,https://dx.doi.org/10.2305/IUCN.UK.2020-3.RLTS.T22697793A184720991.en,1,https://dx.doi.org/10.2305/IUCN.UK.2020-3.RLTS.T22697793A184720991.en,80,1.9084850188786497,https://dx.doi.org/10.2305/IUCN.UK.2020-3.RLTS.T22697793A184720991.en,60,https://dx.doi.org/10.2305/IUCN.UK.2020-3.RLTS.T22697793A184720991.en,5,https://seaworld.org/animals/facts/birds/macaroni-penguin/,12,12,https://dx.doi.org/10.2305/IUCN.UK.2020-3.RLTS.T22697793A184720991.en,I,https://dx.doi.org/10.2305/IUCN.UK.2020-3.RLTS.T22697793A184720991.en,F,NA,F,NA,6300000,https://dx.doi.org/10.2305/IUCN.UK.2020-3.RLTS.T22697793A184720991.en,NA,NA,NA,NA,NA,EC,NA,NA,NA,NA,TRUE
